wikidata,legislature,name,website,statistical-geography,toid,start-date,end-date
Q73072599,Q21561306,East Dorset District Council,http://www.eastdorsetdc.gov.uk/,,,1974-04-01T00:00:00Z,2019-04-01T00:00:00Z
Q73072602,Q21561306,East Hampshire District Council,https://www.easthants.gov.uk,,,,
Q5328577,Q21561306,East Hertfordshire District Council,https://www.eastherts.gov.uk,,,,
Q73072603,Q21561306,East Lindsey District Council,https://www.e-lindsey.gov.uk,,,,
Q73072604,Q21561306,East Northamptonshire Council,https://www.east-northamptonshire.gov.uk,,,,
Q16989282,Q21561328,East Riding of Yorkshire Council,https://www.eastriding.gov.uk,,,,
Q73072606,Q21561306,East Staffordshire Borough Council,https://www.eaststaffsbc.gov.uk,,,,
Q59536023,Q21561306,East Suffolk Council,https://www.eastsuffolk.gov.uk,,,2008-01-01T00:00:00Z,
Q5329458,Q4321471,East Sussex County Council,https://www.eastsussex.gov.uk,,,,
Q30588396,Q21561306,Eastbourne Borough Council,https://www.eastbourne.gov.uk,,,,
Q73072609,Q21561306,Eastleigh Borough Council,https://www.eastleigh.gov.uk,,,,
Q72463795,Q5266682,Ebbsfleet Development Corporation,https://ebbsfleetdc.org.uk,E51000003,,2015-04-20T00:00:00Z,
Q73072611,Q21561306,Eden District Council,https://www.eden.gov.uk,,,,
Q73072615,Q21561306,Elmbridge Borough Council,https://www.elmbridge.gov.uk,,,,
Q5377310,Q21561350,Enfield London Borough Council,https://www.enfield.gov.uk,,,,
Q73072617,Q21561306,Epping Forest District Council,https://www.eppingforestdc.gov.uk,,,,
Q73072619,Q21561306,Epsom and Ewell Borough Council,https://www.epsom-ewell.gov.uk,,,,
Q73072621,Q21561306,Erewash Borough Council,https://www.erewash.gov.uk,,,,
Q5399679,Q4321471,Essex County Council,https://www.essex.gov.uk/,,,,
Q5420103,Q21561306,Exeter City Council,https://www.exeter.gov.uk,,,,
Q72617784,Q3336962,Exmoor National Park Authority,https://www.exmoor-nationalpark.gov.uk,E26000002,,,
Q73072624,Q21561306,Fareham Borough Council,https://www.fareham.gov.uk,,,,
Q73072625,Q21561306,Fenland District Council,https://www.fenland.gov.uk,,,,
Q55099243,Q21561306,Folkestone & Hythe District Council,https://www.shepway.gov.uk,,,,
Q73072627,Q21561306,Forest Heath District Council,https://www.forest-heath.gov.uk,,,1974-04-01T00:00:00Z,2019-04-01T00:00:00Z
Q28401332,Q21561306,Forest of Dean District Council,https://www.fdean.gov.uk,,,,
Q73072630,Q21561306,Fylde Borough Council,https://www.fylde.gov.uk,,,,
Q54666929,Q19414242,Gateshead Council,https://www.gateshead.gov.uk,,,,
Q73072632,Q21561306,Gedling Borough Council,https://www.gedling.gov.uk,,,,
Q16839203,Q4321471,Glamorgan County Council,,,,1889-01-01T00:00:00Z,1974-01-01T00:00:00Z
Q28401303,Q21561306,Gloucester City Council,https://www.gloucester.gov.uk,,,,
Q16839354,Q4321471,Gloucestershire County Council,https://www.gloucestershire.gov.uk,,,,
Q73072634,Q21561306,Gosport Borough Council,https://www.gosport.gov.uk,,,,
Q55098935,Q21561306,Gravesham Borough Council,https://www.gravesham.gov.uk,,,,
Q73072635,Q21561306,Great Yarmouth Borough Council,https://www.great-yarmouth.gov.uk,,,,
Q5600634,Q5150900,Greater Manchester Combined Authority,https://www.greatermanchester-ca.gov.uk,,,,
Q5604860,Q21561350,Greenwich London Borough Council,https://www.royalgreenwich.gov.uk,,,,
Q73072637,Q21561306,Guildford Borough Council,https://www.guildford.gov.uk,,,,
Q56178073,Q4321471,Gwent County Council,,,,1974-01-01T00:00:00Z,1996-01-01T00:00:00Z
Q5637369,Q21561350,Hackney London Borough Council,https://www.hackney.gov.uk,,,,
Q16983144,Q21561328,Halton Borough Council,https://www.halton.gov.uk,,,,
Q73072640,Q21561306,Hambleton District Council,https://www.hambleton.gov.uk,,,,
Q5645758,Q21561350,Hammersmith and Fulham London Borough Council,https://www.milton-keynes.gov.uk,,,,
Q5646045,Q4321471,Hampshire County Council,https://www.hants.gov.uk,,,,
Q73072642,Q21561306,Harborough District Council,https://www.harborough.gov.uk,,,,
Q5657624,Q21561350,Haringey London Borough Council,https://www.haringey.gov.uk,,,,
Q73072645,Q21561306,Harlow District Council,https://www.harlow.gov.uk,,,,
Q73072647,Q21561306,Harrogate Borough Council,https://www.harrogate.gov.uk,,,,
Q5666565,Q21561350,Harrow London Borough Council,https://www.harrow.gov.uk,,,,
Q73072649,Q21561306,Hart District Council,https://www.hart.gov.uk,,,,
Q16993720,Q21561328,Hartlepool Borough Council,https://www.hartlepool.gov.uk,,,,
Q73072650,Q21561306,Hastings Borough Council,https://www.hastings.gov.uk,,,,
Q73072652,Q21561306,Havant Borough Council,https://www.havant.gov.uk,,,,
Q5683826,Q21561350,Havering London Borough Council,https://www.havering.gov.uk,,,,
Q5738061,Q21561328,Herefordshire Council,https://www.herefordshire.gov.uk,,,,
Q16842680,Q4321471,Herefordshire County Council,,,,1889-01-01T00:00:00Z,1974-01-01T00:00:00Z
Q5744765,Q4321471,Hertfordshire County Council,https://www.hertsdirect.org/,,,,
Q15223753,Q21561306,Hertsmere Borough Council,https://www.hertsmere.gov.uk,,,,
Q5756024,Q21561306,High Peak Borough Council,https://www.highpeak.gov.uk,,,,
Q5763303,Q21561350,Hillingdon London Borough Council,https://www.hillingdon.gov.uk,,,,
Q73072654,Q21561306,Hinckley and Bosworth Borough Council,https://www.hinckley-bosworth.gov.uk,,,,
Q73072656,Q21561306,Horsham District Council,https://www.horsham.gov.uk,,,,
Q388503,Q2097994,Houma,http://www.tpcg.org,,,1834-01-01T00:00:00Z,
Q5913301,Q21561350,Hounslow London Borough Council,https://www.hounslow.gov.uk,,,,
Q5935834,Q21561328,Hull City Council,https://www.hullcc.gov.uk,,,,
Q71442437,Q4321471,Humberside County Council,,,,1974-01-01T00:00:00Z,1996-01-01T00:00:00Z
Q73072657,Q21561306,Huntingdonshire District Council,https://www.huntingdonshire.gov.uk,,,,
Q65089006,Q21561306,Hyndburn Borough Council,https://www.hyndburnbc.gov.uk,,,,
Q16191496,Q21561306,Ipswich Borough Council,https://www.ipswich.gov.uk,,,,
Q6084095,Q21561328,Isle of Wight Council,https://www.iwight.com,,,,
Q6084379,Q21561350,Islington London Borough Council,https://www.islington.gov.uk,,,,
Q52046023,Q2097994,Jaynagar Majilpur Municipality,http://www.joynagarmozilpurmunicipality.com,,,1869-01-01T00:00:00Z,
Q6391507,Q21561350,Kensington and Chelsea London Borough Council,https://www.rbkc.gov.uk,,,,
Q6386127,Q4321471,Kent County Council,https://www.kent.gov.uk,,,,
Q6395462,Q21561306,Kettering Borough Council,https://www.kettering.gov.uk,,,,
Q11871215,Q2097994,Keuda,https://www.keuda.fi/,,,,
Q6413671,Q21561350,Kingston upon Thames London Borough Council,https://www.kingston.gov.uk,,,,
Q16995709,Q19414242,Kirklees Metropolitan Borough Council,https://www.kirklees.gov.uk,,,,
