index-entry-number,entry-number,entry-timestamp,key,local-authority-eng,local-authority-type,name,official-name,start-date,end-date
288,288,2016-10-21T16:11:20Z,HAG,HAG,NMD,Harrogate,"Harrogate Borough Council",,
287,287,2016-10-21T16:11:20Z,HAE,HAE,NMD,Hambleton,"Hambleton District Council",,
286,286,2016-10-21T16:11:20Z,CRA,CRA,NMD,Craven,"Craven District Council",,
285,285,2016-10-21T16:11:20Z,NYK,NYK,CTY,"North Yorkshire","North Yorkshire County Council",,
284,284,2016-10-21T16:11:20Z,RUS,RUS,NMD,Rushcliffe,"Rushcliffe Borough Council",,
283,283,2016-10-21T16:11:20Z,NEA,NEA,NMD,"Newark and Sherwood","Newark and Sherwood District Council",,
282,282,2016-10-21T16:11:20Z,MAS,MAS,NMD,Mansfield,"Mansfield District Council",,
281,281,2016-10-21T16:11:20Z,GED,GED,NMD,Gedling,"Gedling Borough Council",,
280,280,2016-10-21T16:11:20Z,BRT,BRT,NMD,Broxtowe,"Broxtowe Borough Council",,
279,279,2016-10-21T16:11:20Z,BAE,BAE,NMD,Bassetlaw,"Bassetlaw District Council",,
278,278,2016-10-21T16:11:20Z,ASH,ASH,NMD,Ashfield,"Ashfield District Council",,
277,277,2016-10-21T16:11:20Z,NTT,NTT,CTY,Nottinghamshire,"Nottinghamshire County Council",,
276,276,2016-10-21T16:11:20Z,WEL,WEL,NMD,Wellingborough,"Wellingborough Borough Council",,
275,275,2016-10-21T16:11:20Z,SNR,SNR,NMD,"South Northamptonshire","South Northamptonshire Council",,
274,274,2016-10-21T16:11:20Z,NOR,NOR,NMD,Northampton,"Northampton Borough Council",,
273,273,2016-10-21T16:11:20Z,KET,KET,NMD,Kettering,"Kettering Borough Council",,
272,272,2016-10-21T16:11:20Z,ENO,ENO,NMD,"East Northamptonshire","East Northamptonshire Council",,
271,271,2016-10-21T16:11:20Z,DAV,DAV,NMD,Daventry,"Daventry District Council",,
270,270,2016-10-21T16:11:20Z,COR,COR,NMD,Corby,"Corby Borough Council",,
269,269,2016-10-21T16:11:20Z,NTH,NTH,CTY,Northamptonshire,"Northamptonshire County Council",,
268,268,2016-10-21T16:11:20Z,SNO,SNO,NMD,"South Norfolk","South Norfolk District Council",,
267,267,2016-10-21T16:11:20Z,NOW,NOW,NMD,Norwich,"Norwich City Council",,
266,266,2016-10-21T16:11:20Z,NNO,NNO,NMD,"North Norfolk","North Norfolk District Council",,
264,264,2016-10-21T16:11:20Z,GRY,GRY,NMD,"Great Yarmouth","Great Yarmouth Borough Council",,
263,263,2016-10-21T16:11:20Z,BRO,BRO,NMD,Broadland,"Broadland District Council",,
262,262,2016-10-21T16:11:20Z,BRE,BRE,NMD,Breckland,"Breckland District Council",,
261,261,2016-10-21T16:11:20Z,NFK,NFK,CTY,Norfolk,"Norfolk County Council",,
260,260,2016-10-21T16:11:20Z,WLI,WLI,NMD,"West Lindsey","West Lindsey District Council",,
259,259,2016-10-21T16:11:20Z,SKE,SKE,NMD,"South Kesteven","South Kesteven District Council",,
258,258,2016-10-21T16:11:20Z,SHO,SHO,NMD,"South Holland","South Holland District Council",,
257,257,2016-10-21T16:11:20Z,NKE,NKE,NMD,"North Kesteven","North Kesteven District Council",,
256,256,2016-10-21T16:11:20Z,LIC,LIC,NMD,"City of Lincoln","City of Lincoln Council",,
255,255,2016-10-21T16:11:20Z,ELI,ELI,NMD,"East Lindsey","East Lindsey District Council",,
254,254,2016-10-21T16:11:20Z,BOT,BOT,NMD,Boston,"Boston Borough Council",,
253,253,2016-10-21T16:11:20Z,LIN,LIN,CTY,Lincolnshire,"Lincolnshire County Council",,
252,252,2016-10-21T16:11:20Z,OAD,OAD,NMD,"Oadby and Wigston","Oadby and Wigston Borough Council",,
251,251,2016-10-21T16:11:20Z,NWL,NWL,NMD,"North West Leicestershire","North West Leicestershire District Council",,
250,250,2016-10-21T16:11:20Z,MEL,MEL,NMD,Melton,"Melton Borough Council",,
249,249,2016-10-21T16:11:20Z,HIN,HIN,NMD,"Hinckley and Bosworth","Hinckley and Bosworth Borough Council",,
248,248,2016-10-21T16:11:20Z,HAO,HAO,NMD,Harborough,"Harborough District Council",,
247,247,2016-10-21T16:11:20Z,CHA,CHA,NMD,Charnwood,"Charnwood Borough Council",,
246,246,2016-10-21T16:11:20Z,BLA,BLA,NMD,Blaby,"Blaby District Council",,
245,245,2016-10-21T16:11:20Z,LEC,LEC,CTY,Leicestershire,"Leicestershire County Council",,
244,244,2016-10-21T16:11:20Z,WYR,WYR,NMD,Wyre,"Wyre Borough Council",,
243,243,2016-10-21T16:11:20Z,WLA,WLA,NMD,"West Lancashire","West Lancashire Borough Council",,
242,242,2016-10-21T16:11:20Z,SRI,SRI,NMD,"South Ribble","South Ribble Borough Council",,
241,241,2016-10-21T16:11:20Z,ROS,ROS,NMD,Rossendale,"Rossendale Borough Council",,
240,240,2016-10-21T16:11:20Z,RIB,RIB,NMD,"Ribble Valley","Ribble Valley Borough Council",,
239,239,2016-10-21T16:11:20Z,PRE,PRE,NMD,Preston,"Preston City Council",,
238,238,2016-10-21T16:11:20Z,PEN,PEN,NMD,Pendle,"Pendle Borough Council",,
237,237,2016-10-21T16:11:20Z,LAC,LAC,NMD,Lancaster,"Lancaster City Council",,
236,236,2016-10-21T16:11:20Z,HYN,HYN,NMD,Hyndburn,"Hyndburn Borough Council",,
235,235,2016-10-21T16:11:20Z,FYL,FYL,NMD,Fylde,"Fylde Borough Council",,
234,234,2016-10-21T16:11:20Z,CHO,CHO,NMD,Chorley,"Chorley Borough Council",,
233,233,2016-10-21T16:11:20Z,BUN,BUN,NMD,Burnley,"Burnley Borough Council",,
232,232,2016-10-21T16:11:20Z,LAN,LAN,CTY,Lancashire,"Lancashire County Council",,
231,231,2016-10-21T16:11:20Z,TUN,TUN,NMD,"Tunbridge Wells","Tunbridge Wells Borough Council",,
230,230,2016-10-21T16:11:20Z,TON,TON,NMD,"Tonbridge and Malling","Tonbridge and Malling Borough Council",,
229,229,2016-10-21T16:11:20Z,THA,THA,NMD,Thanet,"Thanet District Council",,
228,228,2016-10-21T16:11:20Z,SWL,SWL,NMD,Swale,"Swale Borough Council",,
226,226,2016-10-21T16:11:20Z,SEV,SEV,NMD,Sevenoaks,"Sevenoaks District Council",,
225,225,2016-10-21T16:11:20Z,MAI,MAI,NMD,Maidstone,"Maidstone Borough Council",,
224,224,2016-10-21T16:11:20Z,GRA,GRA,NMD,Gravesham,"Gravesham Borough Council",,
223,223,2016-10-21T16:11:20Z,DOV,DOV,NMD,Dover,"Dover District Council",,
222,222,2016-10-21T16:11:20Z,DAR,DAR,NMD,Dartford,"Dartford Borough Council",,
221,221,2016-10-21T16:11:20Z,CAT,CAT,NMD,Canterbury,"Canterbury City Council",,
220,220,2016-10-21T16:11:20Z,ASF,ASF,NMD,Ashford,"Ashford Borough Council",,
219,219,2016-10-21T16:11:20Z,KEN,KEN,CTY,Kent,"Kent County Council",,
218,218,2016-10-21T16:11:20Z,WEW,WEW,NMD,"Welwyn Hatfield","Welwyn Hatfield Borough Council",,
217,217,2016-10-21T16:11:20Z,WAT,WAT,NMD,Watford,"Watford Borough Council",,
216,216,2016-10-21T16:11:20Z,THE,THE,NMD,"Three Rivers","Three Rivers District Council",,
215,215,2016-10-21T16:11:20Z,STV,STV,NMD,Stevenage,"Stevenage Borough Council",,
214,214,2016-10-21T16:11:20Z,SAL,SAL,NMD,"St Albans","St Albans City and District Council",,
213,213,2016-10-21T16:11:20Z,NHE,NHE,NMD,"North Hertfordshire","North Hertfordshire District Council",,
212,212,2016-10-21T16:11:20Z,HER,HER,NMD,Hertsmere,"Hertsmere Borough Council",,
211,211,2016-10-21T16:11:20Z,EHE,EHE,NMD,"East Hertfordshire","East Hertfordshire District Council",,
210,210,2016-10-21T16:11:20Z,DAC,DAC,NMD,Dacorum,"Dacorum Borough Council",,
209,209,2016-10-21T16:11:20Z,BRX,BRX,NMD,Broxbourne,"Broxbourne Borough Council",,
208,208,2016-10-21T16:11:20Z,HRT,HRT,CTY,Hertfordshire,"Hertfordshire County Council",,
207,207,2016-10-21T16:11:20Z,WIN,WIN,NMD,Winchester,"Winchester City Council",,
206,206,2016-10-21T16:11:20Z,TES,TES,NMD,"Test Valley","Test Valley Borough Council",,
205,205,2016-10-21T16:11:20Z,RUH,RUH,NMD,Rushmoor,"Rushmoor Borough Council",,
204,204,2016-10-21T16:11:20Z,NEW,NEW,NMD,"New Forest","New Forest District Council",,
203,203,2016-10-21T16:11:20Z,HAA,HAA,NMD,Havant,"Havant Borough Council",,
202,202,2016-10-21T16:11:20Z,HAT,HAT,NMD,Hart,"Hart District Council",,
201,201,2016-10-21T16:11:20Z,GOS,GOS,NMD,Gosport,"Gosport Borough Council",,
200,200,2016-10-21T16:11:20Z,FAR,FAR,NMD,Fareham,"Fareham Borough Council",,
199,199,2016-10-21T16:11:20Z,EAT,EAT,NMD,Eastleigh,"Eastleigh Borough Council",,
198,198,2016-10-21T16:11:20Z,EHA,EHA,NMD,"East Hampshire","East Hampshire District Council",,
197,197,2016-10-21T16:11:20Z,BAN,BAN,NMD,"Basingstoke and Deane","Basingstoke and Deane Borough Council",,
196,196,2016-10-21T16:11:20Z,HAM,HAM,CTY,Hampshire,"Hampshire County Council",,
195,195,2016-10-21T16:11:20Z,TEW,TEW,NMD,Tewkesbury,"Tewkesbury Borough Council",,
194,194,2016-10-21T16:11:20Z,STO,STO,NMD,Stroud,"Stroud District Council",,
193,193,2016-10-21T16:11:20Z,GLO,GLO,NMD,Gloucester,"Gloucester City Council",,
192,192,2016-10-21T16:11:20Z,FOE,FOE,NMD,"Forest of Dean","Forest of Dean District Council",,
191,191,2016-10-21T16:11:20Z,COT,COT,NMD,Cotswold,"Cotswold District Council",,
190,190,2016-10-21T16:11:20Z,CHT,CHT,NMD,Cheltenham,"Cheltenham Borough Council",,
189,189,2016-10-21T16:11:20Z,GLS,GLS,CTY,Gloucestershire,"Gloucestershire County Council",,
