index-entry-number,entry-number,entry-timestamp,key,local-authority-eng,local-authority-type,name,official-name,start-date,end-date
78,78,2016-10-21T16:11:20Z,TAM,TAM,MD,Tameside,"Tameside Metropolitan Borough Council",1974-04-01,
77,77,2016-10-21T16:11:20Z,SWD,SWD,UA,Swindon,"Swindon Borough Council",1905-06-20,
76,76,2016-10-21T16:11:20Z,STY,STY,MD,"South Tyneside","South Tyneside Council",1974-04-01,
75,75,2016-10-21T16:11:20Z,STT,STT,UA,Stockton-on-Tees,"Stockton-on-Tees Borough Council",1905-06-18,
74,74,2016-10-21T16:11:20Z,STH,STH,UA,Southampton,"Southampton City Council",1905-06-19,
73,73,2016-10-21T16:11:20Z,STE,STE,UA,Stoke-on-Trent,"Stoke-on-Trent City Council",1905-06-20,
72,72,2016-10-21T16:11:20Z,SOS,SOS,UA,Southend-on-Sea,"Southend-on-Sea Borough Council",1905-06-20,
71,71,2016-10-21T16:11:20Z,SOL,SOL,MD,Solihull,"Solihull Metropolitan Borough Council",1905-05-27,
70,70,2016-10-21T16:11:20Z,SND,SND,MD,Sunderland,"Sunderland City Council",1905-05-27,
69,69,2016-10-21T16:11:20Z,SLG,SLG,UA,Slough,"Slough Borough Council",1998-04-01,
68,68,2016-10-21T16:11:20Z,SLF,SLF,MD,Salford,"Salford City Council",1905-05-27,
67,67,2016-10-21T16:11:20Z,SKP,SKP,MD,Stockport,"Stockport Metropolitan Borough Council",1905-05-27,
66,66,2016-10-21T16:11:20Z,SHR,SHR,UA,Shropshire,"Shropshire Council",2009-04-01,
65,65,2016-10-21T16:11:20Z,SHN,SHN,MD,"St. Helens","St Helens Council",1905-06-08,
64,64,2016-10-21T16:11:20Z,SHF,SHF,MD,Sheffield,"Sheffield City Council",1905-06-08,
63,63,2016-10-21T16:11:20Z,SGC,SGC,UA,"South Gloucestershire","South Gloucestershire Council",1905-06-18,
62,62,2016-10-21T16:11:20Z,SFT,SFT,MD,Sefton,"Sefton Metropolitan Borough Council",1905-06-08,
61,61,2016-10-21T16:11:20Z,SAW,SAW,MD,Sandwell,"Sandwell Metropolitan Borough Council",1905-06-07,
60,60,2016-10-21T16:11:20Z,RUT,RUT,UA,Rutland,"Rutland County Council",1997-04-01,
59,59,2016-10-21T16:11:20Z,ROT,ROT,MD,Rotherham,"Rotherham Metropolitan Borough Council",1905-05-27,
58,58,2016-10-21T16:11:20Z,RDG,RDG,UA,Reading,"Reading Borough Council",1905-05-27,
57,57,2016-10-21T16:11:20Z,RCH,RCH,MD,Rochdale,"Rochdale Metropolitan Borough Council",1905-05-27,
56,56,2016-10-21T16:11:20Z,RCC,RCC,UA,"Redcar and Cleveland","Redcar and Cleveland Borough Council",1996-04-01,
55,55,2016-10-21T16:11:20Z,PTE,PTE,UA,Peterborough,"Peterborough City Council",1905-06-20,
54,54,2016-10-21T16:11:20Z,POR,POR,UA,Portsmouth,"Portsmouth City Council",1905-06-20,
52,52,2016-10-21T16:11:20Z,PLY,PLY,UA,Plymouth,"Plymouth City Council",1998-04-01,
51,51,2016-10-21T16:11:20Z,OLD,OLD,MD,Oldham,"Oldham Metropolitan Borough Council",1905-06-07,
50,50,2016-10-21T16:11:20Z,NTY,NTY,MD,"North Tyneside","North Tyneside Council",1974-04-01,
49,49,2016-10-21T16:11:20Z,NSM,NSM,UA,"North Somerset","North Somerset  Council",1996-04-01,
48,48,2016-10-21T16:11:20Z,NLN,NLN,UA,"North Lincolnshire","North Lincolnshire Council",1996-04-01,
47,47,2016-10-21T16:11:20Z,NGM,NGM,UA,Nottingham,"Nottingham City Council",1905-06-20,
46,46,2016-10-21T16:11:20Z,NET,NET,MD,"Newcastle upon Tyne","Newcastle City Council",1974-04-01,
45,45,2016-10-21T16:11:20Z,NEL,NEL,UA,"North East Lincolnshire","North East Lincolnshire Council",1996-04-01,
44,44,2016-10-21T16:11:20Z,NBL,NBL,UA,Northumberland,"Northumberland County Council",2009-04-01,
43,43,2016-10-21T16:11:20Z,MIK,MIK,UA,"Milton Keynes","Milton Keynes Council",1905-06-19,
42,42,2016-10-21T16:11:20Z,MDW,MDW,UA,Medway,"Medway Council",1998-04-01,
41,41,2016-10-21T16:11:20Z,MDB,MDB,UA,Middlesbrough,"Middlesbrough Borough Council",1905-06-18,
40,40,2016-10-21T16:11:20Z,MAN,MAN,MD,Manchester,"Manchester City Council",1974-04-01,
39,39,2016-10-21T16:11:20Z,LUT,LUT,UA,Luton,"Luton Borough Council",1905-06-19,
37,37,2016-10-21T16:11:20Z,LIV,LIV,MD,Liverpool,"Liverpool City Council",1905-06-08,
36,36,2016-10-21T16:11:20Z,LDS,LDS,MD,Leeds,"Leeds City Council",1905-06-08,
35,35,2016-10-21T16:11:20Z,LCE,LCE,UA,Leicester,"Leicester City Council",1905-06-19,
34,34,2016-10-21T16:11:20Z,KWL,KWL,MD,Knowsley,"Knowsley Metropolitan Borough Council",1974-04-01,
33,33,2016-10-21T16:11:20Z,KIR,KIR,MD,Kirklees,"Kirklees Council",1974-04-01,
32,32,2016-10-21T16:11:20Z,KHL,KHL,UA,"Kingston upon Hull","Hull City Council",1996-04-01,
31,31,2016-10-21T16:11:20Z,IOW,IOW,UA,"Isle of Wight","Isle of Wight Council",1905-06-17,
30,30,2016-10-21T16:11:20Z,IOS,IOS,UA,"Isles of Scilly","Council of the Isles of Scilly",1974-04-01,
29,29,2016-10-21T16:11:20Z,HPL,HPL,UA,Hartlepool,"Hartlepool Borough Council",1905-06-18,
28,28,2016-10-21T16:11:20Z,HEF,HEF,UA,Herefordshire,"Herefordshire Council",1998-04-01,
27,27,2016-10-21T16:11:20Z,HAL,HAL,UA,Halton,"Halton Borough Council",1998-04-01,
25,25,2016-10-21T16:11:20Z,GAT,GAT,MD,Gateshead,"Gateshead Metropolitan Borough Council",1974-04-01,
24,24,2016-10-21T16:11:20Z,ERY,ERY,UA,"East Riding of Yorkshire","East Riding of Yorkshire Council",1996-04-01,
23,23,2016-10-21T16:11:20Z,DUR,DUR,UA,"County Durham","Durham County Council",2009-04-01,
22,22,2016-10-21T16:11:20Z,DUD,DUD,MD,Dudley,"Dudley Metropolitan Borough Council",1974-04-01,
21,21,2016-10-21T16:11:20Z,DNC,DNC,MD,Doncaster,"Doncaster Metropolitan Borough Council",1974-04-01,
20,20,2016-10-21T16:11:20Z,DAL,DAL,UA,Darlington,"Darlington Borough Council",1997-04-01,
19,19,2016-10-21T16:11:20Z,COV,COV,MD,Coventry,"Coventry City Council",1974-04-01,
18,18,2016-10-21T16:11:20Z,CON,CON,UA,Cornwall,"Cornwall Council",2009-04-01,
17,17,2016-10-21T16:11:20Z,CLD,CLD,MD,Calderdale,"Calderdale Metropolitan Borough Council",1974-04-01,
16,16,2016-10-21T16:11:20Z,CHW,CHW,UA,"Cheshire West and Chester","Cheshire West and Chester Council",2009-04-01,
15,15,2016-10-21T16:11:20Z,CHE,CHE,UA,"Cheshire East","Cheshire East Council",2009-04-01,
14,14,2016-10-21T16:11:20Z,CBF,CBF,UA,"Central Bedfordshire","Central Bedfordshire Council",2009-04-01,
13,13,2016-10-21T16:11:20Z,BUR,BUR,MD,Bury,"Bury Metropolitan Borough Council",1974-04-01,
12,12,2016-10-21T16:11:20Z,BST,BST,UA,"City of Bristol","Bristol City Council",1905-06-18,
11,11,2016-10-21T16:11:20Z,BRD,BRD,MD,Bradford,"City of Bradford Metropolitan District Council",1974-04-01,
10,10,2016-10-21T16:11:20Z,BRC,BRC,UA,"Bracknell Forest","Bracknell Forest Council",1998-04-01,
9,9,2016-10-21T16:11:20Z,BPL,BPL,UA,Blackpool,"Blackpool Borough Council",1905-06-20,
8,8,2016-10-21T16:11:20Z,BOL,BOL,MD,Bolton,"Bolton Metropolitan Borough Council",1974-04-01,
7,7,2016-10-21T16:11:20Z,BNS,BNS,MD,Barnsley,"Barnsley Metropolitan Borough Council",1974-04-01,
6,6,2016-10-21T16:11:20Z,BNH,BNH,UA,"Brighton and Hove","Brighton and Hove City Council",1905-06-19,
3,3,2016-10-21T16:11:20Z,BDF,BDF,UA,Bedford,"Bedford Borough Council",2009-04-01,
2,2,2016-10-21T16:11:20Z,BBD,BBD,UA,"Blackburn with Darwen","Blackburn with Darwen Borough Council",1998-04-01,
1,1,2016-10-21T16:11:20Z,BAS,BAS,UA,"Bath and North East Somerset","Bath and North East Somerset Council",1996-04-01,
