organisation,region
local-authority-eng:STO,south-west
local-authority-eng:STN,london
local-authority-eng:STH,south-east
local-authority-eng:STF,west-midlands
local-authority-eng:STE,west-midlands
local-authority-eng:STA,west-midlands
local-authority-eng:SST,west-midlands
local-authority-eng:SSO,south-west
local-authority-eng:SRI,north-west
local-authority-eng:SPE,south-east
local-authority-eng:SOX,south-east
local-authority-eng:SOS,east-of-england
local-authority-eng:SOL,west-midlands
local-authority-eng:SNR,east-midlands
local-authority-eng:SNO,east-of-england
local-authority-eng:SND,north-east
local-authority-eng:SLG,south-east
local-authority-eng:SLA,north-west
local-authority-eng:SKP,north-west
local-authority-eng:SKE,east-midlands
local-authority-eng:SHR,west-midlands
local-authority-eng:SHO,east-midlands
local-authority-eng:SHN,north-west
local-authority-eng:SHF,yorkshire-and-the-humber
local-authority-eng:SHE,south-east
local-authority-eng:SHA,south-west
local-authority-eng:SGC,south-west
local-authority-eng:SFT,north-west
local-authority-eng:SEV,south-east
local-authority-eng:SEL,yorkshire-and-the-humber
local-authority-eng:SEG,south-west
local-authority-eng:SDE,east-midlands
local-authority-eng:SCE,yorkshire-and-the-humber
local-authority-eng:SCA,east-of-england
local-authority-eng:SBU,south-east
local-authority-eng:SAW,west-midlands
local-authority-eng:SAL,east-of-england
local-authority-eng:RYE,yorkshire-and-the-humber
local-authority-eng:RUT,east-midlands
local-authority-eng:RUS,east-midlands
local-authority-eng:RUN,south-east
local-authority-eng:RUH,south-east
local-authority-eng:RUG,west-midlands
local-authority-eng:ROT,yorkshire-and-the-humber
local-authority-eng:ROS,north-west
local-authority-eng:ROH,south-east
local-authority-eng:ROC,east-of-england
local-authority-eng:RIH,yorkshire-and-the-humber
local-authority-eng:RIC,london
local-authority-eng:RIB,north-west
local-authority-eng:REI,south-east
local-authority-eng:RDG,south-east
local-authority-eng:RDB,london
local-authority-eng:RCH,north-west
local-authority-eng:RCC,north-east
local-authority-eng:PTE,east-of-england
local-authority-eng:PRE,north-west
local-authority-eng:POR,south-east
local-authority-eng:PLY,south-west
local-authority-eng:PEN,north-west
local-authority-eng:OXO,south-east
local-authority-eng:OLD,north-west
local-authority-eng:OAD,east-midlands
local-authority-eng:NWM,london
local-authority-eng:NWL,east-midlands
local-authority-eng:NWA,west-midlands
local-authority-eng:NUN,west-midlands
local-authority-eng:NTY,north-east
local-authority-eng:NSM,south-west
local-authority-eng:NOW,east-of-england
local-authority-eng:NOR,east-midlands
local-authority-eng:NNO,east-of-england
local-authority-eng:NLN,yorkshire-and-the-humber
local-authority-eng:NKE,east-midlands
local-authority-eng:NHE,east-of-england
local-authority-eng:NGM,east-midlands
local-authority-eng:NEW,south-east
local-authority-eng:NET,north-east
local-authority-eng:NEL,yorkshire-and-the-humber
local-authority-eng:NED,east-midlands
local-authority-eng:NEC,west-midlands
local-authority-eng:NEA,east-midlands
local-authority-eng:NDE,south-west
local-authority-eng:NBL,north-east
local-authority-eng:MSU,east-of-england
local-authority-eng:MSS,south-east
local-authority-eng:MRT,london
local-authority-eng:MOL,south-east
local-authority-eng:MIK,south-east
local-authority-eng:MEN,south-west
local-authority-eng:MEL,east-midlands
local-authority-eng:MDW,south-east
local-authority-eng:MDE,south-west
local-authority-eng:MDB,north-east
local-authority-eng:MAV,west-midlands
local-authority-eng:MAS,east-midlands
local-authority-eng:MAN,north-west
local-authority-eng:MAL,east-of-england
local-authority-eng:MAI,south-east
local-authority-eng:LUT,east-of-england
local-authority-eng:LND,london
local-authority-eng:LIF,west-midlands
local-authority-eng:LIC,east-midlands
local-authority-eng:LEW,london
local-authority-eng:LEE,south-east
local-authority-eng:LDS,yorkshire-and-the-humber
local-authority-eng:LCE,east-midlands
local-authority-eng:LBH,london
local-authority-eng:LAC,north-west
local-authority-eng:KWL,north-west
local-authority-eng:KTT,london
local-authority-eng:KIR,yorkshire-and-the-humber
local-authority-eng:KIN,east-of-england
local-authority-eng:KET,east-midlands
local-authority-eng:KEC,london
local-authority-eng:ISL,london
local-authority-eng:IPS,east-of-england
local-authority-eng:IOW,south-east
local-authority-eng:IOS,south-west
local-authority-eng:HYN,north-west
local-authority-eng:HUN,east-of-england
local-authority-eng:HRY,london
local-authority-eng:HRW,london
local-authority-eng:HPL,north-east
local-authority-eng:HOR,south-east
local-authority-eng:HNS,london
local-authority-eng:HMF,london
local-authority-eng:HIN,east-midlands
local-authority-eng:HIL,london
local-authority-eng:HIG,east-midlands
local-authority-eng:HER,east-of-england
local-authority-eng:HEF,west-midlands
local-authority-eng:HCK,london
local-authority-eng:HAV,london
local-authority-eng:HAT,south-east
local-authority-eng:HAS,south-east
local-authority-eng:HAR,east-of-england
local-authority-eng:HAO,east-midlands
local-authority-eng:HAL,north-west
local-authority-eng:HAG,yorkshire-and-the-humber
local-authority-eng:HAE,yorkshire-and-the-humber
local-authority-eng:HAA,south-east
local-authority-eng:GRY,east-of-england
local-authority-eng:GRT,south-east
local-authority-eng:GRE,london
local-authority-eng:GRA,south-east
local-authority-eng:GOS,south-east
local-authority-eng:GLO,south-west
local-authority-eng:GED,east-midlands
local-authority-eng:GAT,north-east
local-authority-eng:FYL,north-west
local-authority-eng:FOE,south-west
local-authority-eng:FEN,east-of-england
local-authority-eng:FAR,south-east
local-authority-eng:EXE,south-west
local-authority-eng:EST,west-midlands
local-authority-eng:ESK,east-of-england
local-authority-eng:ERY,yorkshire-and-the-humber
local-authority-eng:ERE,east-midlands
local-authority-eng:EPS,south-east
local-authority-eng:EPP,east-of-england
local-authority-eng:ENO,east-midlands
local-authority-eng:ENF,london
local-authority-eng:ELM,south-east
local-authority-eng:ELI,east-midlands
local-authority-eng:EHE,east-of-england
local-authority-eng:EHA,south-east
local-authority-eng:EDN,north-west
local-authority-eng:EDE,south-west
local-authority-eng:ECA,east-of-england
local-authority-eng:EAT,south-east
local-authority-eng:EAS,south-east
local-authority-eng:EAL,london
local-authority-eng:DUR,north-east
local-authority-eng:DUD,west-midlands
local-authority-eng:DST,south-west
local-authority-eng:DOV,south-east
local-authority-eng:DNC,yorkshire-and-the-humber
local-authority-eng:DER,east-midlands
local-authority-eng:DEB,east-midlands
local-authority-eng:DAV,east-midlands
local-authority-eng:DAR,south-east
local-authority-eng:DAL,north-east
local-authority-eng:DAC,east-of-england
local-authority-eng:CRY,london
local-authority-eng:CRW,south-east
local-authority-eng:CRA,yorkshire-and-the-humber
local-authority-eng:COV,west-midlands
local-authority-eng:COT,south-west
local-authority-eng:COR,east-midlands
local-authority-eng:COP,north-west
local-authority-eng:CON,south-west
local-authority-eng:COL,east-of-england
local-authority-eng:CMD,london
local-authority-eng:CLD,yorkshire-and-the-humber
local-authority-eng:CHW,north-west
local-authority-eng:CHT,south-west
local-authority-eng:CHS,east-midlands
local-authority-eng:CHR,south-east
local-authority-eng:CHO,north-west
local-authority-eng:CHN,south-east
local-authority-eng:CHL,east-of-england
local-authority-eng:CHI,south-east
local-authority-eng:CHE,north-west
local-authority-eng:CHA,east-midlands
local-authority-eng:CBF,east-of-england
local-authority-eng:CAT,south-east
local-authority-eng:CAS,east-of-england
local-authority-eng:CAR,north-west
local-authority-eng:CAN,west-midlands
local-authority-eng:CAB,east-of-england
local-authority-eng:BUR,north-west
local-authority-eng:BUN,north-west
local-authority-eng:BST,south-west
local-authority-eng:BRY,london
local-authority-eng:BRX,east-of-england
local-authority-eng:BRW,east-of-england
local-authority-eng:BRT,east-midlands
local-authority-eng:BRO,east-of-england
local-authority-eng:BRE,east-of-england
local-authority-eng:BRD,yorkshire-and-the-humber
local-authority-eng:BRC,south-east
local-authority-eng:BRA,east-of-england
local-authority-eng:BPL,north-west
local-authority-eng:BPC,south-west
local-authority-eng:BOT,east-midlands
local-authority-eng:BOS,east-midlands
local-authority-eng:BOL,north-west
local-authority-eng:BNS,yorkshire-and-the-humber
local-authority-eng:BNH,south-east
local-authority-eng:BNE,london
local-authority-eng:BLA,east-midlands
local-authority-eng:BIR,west-midlands
local-authority-eng:BEX,london
local-authority-eng:BEN,london
local-authority-eng:BDG,london
local-authority-eng:BDF,east-of-england
local-authority-eng:BBD,north-west
local-authority-eng:BAS,south-west
local-authority-eng:BAR,north-west
local-authority-eng:BAN,south-east
local-authority-eng:BAI,east-of-england
local-authority-eng:BAE,east-midlands
local-authority-eng:BAB,east-of-england
local-authority-eng:AYL,south-east
local-authority-eng:ASH,east-midlands
local-authority-eng:ASF,south-east
local-authority-eng:ARU,south-east
local-authority-eng:AMB,east-midlands
local-authority-eng:ALL,north-west
local-authority-eng:ADU,south-east
local-authority-eng:LAN,north-west
local-authority-eng:BKM,south-east
local-authority-eng:BRM,west-midlands
local-authority-eng:SFK,east-of-england
local-authority-eng:LCR,north-west
local-authority-eng:OXF,south-east
local-authority-eng:WSX,south-east
local-authority-eng:SRY,south-east
local-authority-eng:LIN,east-midlands
local-authority-eng:HAM,south-east
local-authority-eng:SLF,north-west
local-authority-eng:HRT,east-of-england
local-authority-eng:NTH,east-midlands
local-authority-eng:ESX,south-east
local-authority-eng:DEV,south-west
local-authority-eng:WAR,west-midlands
local-authority-eng:ESS,east-of-england
local-authority-eng:KEN,south-east
local-authority-eng:GLS,south-west
local-authority-eng:STS,west-midlands
local-authority-eng:SOM,south-west
local-authority-eng:NFK,east-of-england
local-authority-eng:CMA,north-west
local-authority-eng:NYK,yorkshire-and-the-humber
local-authority-eng:DBY,east-midlands
local-authority-eng:NTT,east-midlands
local-authority-eng:LEC,east-midlands
local-authority-eng:KHL,yorkshire-and-the-humber
local-authority-eng:DOR,south-west
local-authority-eng:CAM,east-of-england
