statistical-geography,boundary
E07000040,https://raw.githubusercontent.com/digital-land/boundary-collection/master/collection/local-authority/E07000040/index.geojson
E07000041,https://raw.githubusercontent.com/digital-land/boundary-collection/master/collection/local-authority/E07000041/index.geojson
E07000042,https://raw.githubusercontent.com/digital-land/boundary-collection/master/collection/local-authority/E07000042/index.geojson
E07000043,https://raw.githubusercontent.com/digital-land/boundary-collection/master/collection/local-authority/E07000043/index.geojson
E07000044,https://raw.githubusercontent.com/digital-land/boundary-collection/master/collection/local-authority/E07000044/index.geojson
E07000045,https://raw.githubusercontent.com/digital-land/boundary-collection/master/collection/local-authority/E07000045/index.geojson
E07000046,https://raw.githubusercontent.com/digital-land/boundary-collection/master/collection/local-authority/E07000046/index.geojson
E07000047,https://raw.githubusercontent.com/digital-land/boundary-collection/master/collection/local-authority/E07000047/index.geojson
E07000061,https://raw.githubusercontent.com/digital-land/boundary-collection/master/collection/local-authority/E07000061/index.geojson
E07000062,https://raw.githubusercontent.com/digital-land/boundary-collection/master/collection/local-authority/E07000062/index.geojson
E07000063,https://raw.githubusercontent.com/digital-land/boundary-collection/master/collection/local-authority/E07000063/index.geojson
E07000064,https://raw.githubusercontent.com/digital-land/boundary-collection/master/collection/local-authority/E07000064/index.geojson
E07000065,https://raw.githubusercontent.com/digital-land/boundary-collection/master/collection/local-authority/E07000065/index.geojson
E07000066,https://raw.githubusercontent.com/digital-land/boundary-collection/master/collection/local-authority/E07000066/index.geojson
E07000067,https://raw.githubusercontent.com/digital-land/boundary-collection/master/collection/local-authority/E07000067/index.geojson
E07000068,https://raw.githubusercontent.com/digital-land/boundary-collection/master/collection/local-authority/E07000068/index.geojson
E07000069,https://raw.githubusercontent.com/digital-land/boundary-collection/master/collection/local-authority/E07000069/index.geojson
E07000070,https://raw.githubusercontent.com/digital-land/boundary-collection/master/collection/local-authority/E07000070/index.geojson
E07000071,https://raw.githubusercontent.com/digital-land/boundary-collection/master/collection/local-authority/E07000071/index.geojson
E07000072,https://raw.githubusercontent.com/digital-land/boundary-collection/master/collection/local-authority/E07000072/index.geojson
E07000073,https://raw.githubusercontent.com/digital-land/boundary-collection/master/collection/local-authority/E07000073/index.geojson
E07000074,https://raw.githubusercontent.com/digital-land/boundary-collection/master/collection/local-authority/E07000074/index.geojson
E07000075,https://raw.githubusercontent.com/digital-land/boundary-collection/master/collection/local-authority/E07000075/index.geojson
E07000076,https://raw.githubusercontent.com/digital-land/boundary-collection/master/collection/local-authority/E07000076/index.geojson
E07000077,https://raw.githubusercontent.com/digital-land/boundary-collection/master/collection/local-authority/E07000077/index.geojson
E07000078,https://raw.githubusercontent.com/digital-land/boundary-collection/master/collection/local-authority/E07000078/index.geojson
E07000079,https://raw.githubusercontent.com/digital-land/boundary-collection/master/collection/local-authority/E07000079/index.geojson
E07000080,https://raw.githubusercontent.com/digital-land/boundary-collection/master/collection/local-authority/E07000080/index.geojson
E07000081,https://raw.githubusercontent.com/digital-land/boundary-collection/master/collection/local-authority/E07000081/index.geojson
