dataset,prefix,local-authority-eng,local-authority-type,wikidata,name,combined-authority,statistical-geography,start-date,end-date
local-authority,local-authority,SWD,UA,Q17040033,Swindon Borough Council,,E06000030,1905-06-20,
local-authority,local-authority,SWK,LBO,Q7571153,London Borough of Southwark,,E09000028,,
local-authority,local-authority,SWL,NMD,Q55098937,Swale Borough Council,,E07000113,,
local-authority,local-authority,SWT,NMD,Q60790331,Somerset West and Taunton Council,,E07000246,2019-04-01,2023-03-31
local-authority,local-authority,TAM,MD,Q17041259,Tameside Metropolitan Borough Council,GMCA,E08000008,1974-04-01,
local-authority,local-authority,TAN,NMD,Q73072790,Tandridge District Council,,E07000215,,
local-authority,local-authority,TAU,NMD,Q73072791,Taunton Deane Borough Council,,E07000190,,2019-03-31
local-authority,local-authority,TAW,NMD,Q73072788,Tamworth Borough Council,,E07000199,,
local-authority,local-authority,TEI,NMD,Q73072792,Teignbridge District Council,,E07000045,,
local-authority,local-authority,TEN,NMD,Q73072799,Tendring District Council,,E07000076,,
local-authority,local-authority,TES,NMD,Q73072801,Test Valley Borough Council,,E07000093,,
local-authority,local-authority,TEW,NMD,Q27183368,Tewkesbury Borough Council,,E07000083,,
local-authority,local-authority,TFW,UA,Q17059334,Telford & Wrekin Council,,E06000020,1905-06-20,
local-authority,local-authority,THA,NMD,Q7710261,Thanet District Council,,E07000114,,
local-authority,local-authority,THE,NMD,Q7797746,Three Rivers District Council,,E07000102,1974-04-01,
local-authority,local-authority,THR,UA,Q1646552,Thurrock Council,,E06000034,1905-06-20,
local-authority,local-authority,TOB,UA,Q17034697,Torbay Council,,E06000027,1905-06-20,
local-authority,local-authority,TON,NMD,Q16901812,Tonbridge and Malling Borough Council,,E07000115,,
local-authority,local-authority,TOR,NMD,Q73072804,Torridge District Council,,E07000046,,
local-authority,local-authority,TRF,MD,Q17034839,Trafford Metropolitan Borough Council,GMCA,E08000009,1974-04-01,
local-authority,local-authority,TUN,NMD,Q55098930,Tunbridge Wells Borough Council,,E07000116,,
local-authority,local-authority,TVCA,COMB,Q21061639,Tees Valley Combined Authority,,E47000006,2014-04-01,
local-authority,local-authority,TWH,LBO,Q7829677,London Borough of Tower Hamlets,,E09000030,,
local-authority,local-authority,UTT,NMD,Q73072805,Uttlesford District Council,,E07000077,,
local-authority,local-authority,VAL,NMD,Q65090041,Vale of White Horse District Council,,E07000180,,
local-authority,local-authority,WAE,NMD,Q73072816,Waverley Borough Council,,E07000216,,
local-authority,local-authority,WAR,CTY,Q17066348,Warwickshire County Council,,E10000031,,
local-authority,local-authority,WAT,NMD,Q7974596,Watford Borough Council,,E07000103,,
local-authority,local-authority,WAV,NMD,Q73072811,Waveney District Council,,E07000206,,2019-03-31
local-authority,local-authority,WAW,NMD,Q73072810,Warwick District Council,,E07000222,,
local-authority,local-authority,WBK,UA,Q17041496,West Berkshire Council,,E06000037,1905-06-20,
local-authority,local-authority,WDE,NMD,Q73072823,West Devon Borough Council,,E07000047,,
local-authority,local-authority,WDO,NMD,Q73072826,West Dorset District Council,,E07000052,,2019-03-31
local-authority,local-authority,WEA,NMD,Q73072817,Wealden District Council,,E07000065,,
local-authority,local-authority,WECA,COMB,Q24993670,West of England Combined Authority,,E47000009,2017-02-09,
local-authority,local-authority,WEL,NMD,Q73072820,Wellingborough Borough Council,,E07000156,1974-04-01,2021-03-31
local-authority,local-authority,WEW,NMD,Q7982137,Welwyn Hatfield Borough Council,,E07000241,,
local-authority,local-authority,WEY,NMD,Q73072840,Weymouth and Portland Borough Council,,E07000053,,2019-03-31
local-authority,local-authority,WFT,LBO,Q7966606,London Borough of Waltham Forest,,E09000031,,
local-authority,local-authority,WGN,MD,Q7999507,Wigan Metropolitan Borough Council,GMCA,E08000010,1974-04-01,
local-authority,local-authority,WIL,UA,Q1990879,Wiltshire Council,,E06000054,2009-04-01,
local-authority,local-authority,WIN,NMD,Q73072843,Winchester City Council,,E07000094,,
local-authority,local-authority,WKF,MD,Q7961061,Wakefield Metropolitan District Council,WYCA,E08000036,1974-04-01,
local-authority,local-authority,WLA,NMD,Q73072828,West Lancashire Borough Council,,E07000127,,
local-authority,local-authority,WLI,NMD,Q73072831,West Lindsey District Council,,E07000142,,
local-authority,local-authority,WLL,MD,Q7963789,Walsall Metropolitan Borough Council,WMCA,E08000030,1974-04-01,
local-authority,local-authority,WLV,MD,Q8030462,City of Wolverhampton Council,WMCA,E08000031,1974-04-01,
local-authority,local-authority,WMCA,COMB,Q21061625,West Midlands Combined Authority,,E47000007,2016-06-17,
local-authority,local-authority,WND,LBO,Q7967311,London Borough of Wandsworth,,E09000032,,
local-authority,local-authority,WNM,UA,Q6391507,Royal Borough of Windsor and Maidenhead,,E06000040,1905-06-20,
local-authority,local-authority,WNUA,UA,Q111232469,West Northamtonshire Council,,E06000062,2020-04-01,
local-authority,local-authority,WOC,NMD,Q73072848,Worcester City Council,,E07000237,,
local-authority,local-authority,WOI,NMD,Q73072846,Woking Borough Council,,E07000217,,
local-authority,local-authority,WOK,UA,Q17039435,Wokingham Borough Council,,E06000041,1905-06-20,
local-authority,local-authority,WOR,CTY,Q8034245,Worcestershire County Council,,E10000034,,
local-authority,local-authority,WOT,NMD,Q55098923,Worthing Borough Council,,E07000229,1905-06-25,
local-authority,local-authority,WOX,NMD,Q73072833,West Oxfordshire District Council,,E07000181,,
local-authority,local-authority,WRL,MD,Q17038877,Wirral Borough Council,LCR,E08000015,1974-04-01,
local-authority,local-authority,WRT,UA,Q17033474,Warrington Borough Council,,E06000007,1905-06-20,
local-authority,local-authority,WSK,NMD,Q73072837,West Suffolk Council,,E07000245,2019-04-01,
local-authority,local-authority,WSM,LBO,Q7989145,City of Westminster,,E09000033,,
local-authority,local-authority,WSO,NMD,Q73072834,West Somerset District Council,,E07000191,,2019-03-31
local-authority,local-authority,WSX,CTY,Q6386353,West Sussex County Council,,E10000032,,
local-authority,local-authority,WYC,NMD,Q73072850,Wychavon District Council,,E07000238,,
local-authority,local-authority,WYCA,COMB,Q17035952,West Yorkshire Combined Authority,,E47000003,2014-04-01,
local-authority,local-authority,WYE,NMD,Q73072859,Wyre Forest District Council,,E07000239,,
local-authority,local-authority,WYO,NMD,Q65088676,Wycombe District Council,,E07000007,,2020-03-31
local-authority,local-authority,WYR,NMD,Q73072856,Wyre Borough Council,,E07000128,,
local-authority,local-authority,YOR,UA,Q17059453,City of York Council,,E06000014,1905-06-18,
local-authority,local-authority,CUA,UA,Q112160997,Cumberland Unitary Authority,,E06000063,2023-04-01,
local-authority,local-authority,WFUA,UA,Q111962803,Westmorland and Furness Council,,E06000064,2023-04-01,
local-authority,local-authority,NYUA,UA,Q107980431,North Yorkshire Council,,E06000065,2023-04-01,
local-authority,local-authority,SUA,UA,Q110682463,Somerset Council,,E06000066,2023-04-01,
